"Kernel Name"	"gpu_tot_sim_insn\s*=\s*(.*)"	"gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*"	"gpu_tot_sim_cycle\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[MSHR_HIT\]\s*=\s*(.*)"	"gpgpu_n_tot_w_icount\s*=\s*(.*)"	"total dram reads\s*=\s*(.*)"	"total dram writes\s*=\s*(.*)"	"kernel_launch_uid\s*=\s*(.*)"	"gpu_stall_dramfull\s*=\s*(.*)"	"gpu_stall_icnt2sh\s*=\s*(.*)"	"Stall:([0-9]+)\s*W0_Idle:[0-9]+\s*W0_Scoreboard:[0-9]+.*"	"Stall:[0-9]+\s*W0_Idle:([0-9]+)\s*W0_Scoreboard:[0-9]+.*"	"Stall:[0-9]+\s*W0_Idle:[0-9]+\s*W0_Scoreboard:([0-9]+).*"	"gpu_ipc\s*=\s*(.*)"	"gpu_occupancy\s*=\s*(.*)%"	"L2_BW\s*=\s*(.*)+GB\/Sec"	"max_icnt2mem_latency\s*=\s*(.*)"	"gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\)"	"gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\)"	"gpgpu_silicon_slowdown\s*=\s*(.*)x"	"gpu_tot_ipc\s*=\s*(.*)"	"averagemflatency\s*=\s*(.*)"	"Kernel Name (Demangled)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_11FillFunctorIlEENS_6detail5ArrayIPcLi1EEEEEviT0_T1_--0"	2542.0	4.0	5371.0	0.0	""	64.0	159.0	""	0.0	64.0	159.0	0.0	90.0	0.0	0.0	1.0	0.0	0.0	11.0	2334.0	126.0	0.4733	3.0439	""	98.0	635.0	1342.0	1078241.0	0.4733	""	"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<long>, at::detail::Array<char*, 1>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BUnaryFunctorINS0_16CompareGTFunctorIlEEEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--0"	4624.0	4.0	5757.0	0.0	95.0	0.0	12.0	159.0	0.0	0.0	12.0	64.0	164.0	95.0	0.0	1.0	0.0	0.0	20.0	3596.0	1848.0	0.8032	3.1027	""	98.0	895.0	1391.0	1040258.0	0.644	271.0	"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<at::native::CompareGTFunctor<long> >, at::detail::Array<char*, 2> >(int, at::native::BUnaryFunctor<at::native::CompareGTFunctor<long> >, at::detail::Array<char*, 2>)"
"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE9_clEvEUlbE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--0"	7109520.0	9.0	6861.0	956.0	960.0	0.0	4466.0	8714.0	2590.0	0.0	4466.0	5164.0	250133.0	1.0	0.0	1.0	20.0	0.0	138009.0	102382.0	76080.0	1036.2222	19.9181	""	634.0	418628.0	1058.0	1367674.0	395.6132	253.0	"void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native67_GLOBAL__N__43_tmpxft_000126db_00000000_7_Indexing_cpp1_ii_0918133421indexSelectLargeIndexIfjLi2ELi2ELin2ELb1EEEvNS_4cuda6detail10TensorInfoIT_T0_EES8_NS5_IlS7_EEiiS7_S7_l--0"	23463666.0	27.0	10742.0	2556.0	38556.0	0.0	36288.0	45360.0	124.0	0.0	36288.0	6680.0	858832.0	36000.0	0.0	1.0	0.0	0.0	708296.0	69489.0	272237.0	2184.2922	45.3669	""	634.0	695008.0	652.0	2219325.0	1064.3678	298.0	"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEEEEviT0_T1_--0"	1524096.0	16.0	8214.0	36288.0	72576.0	0.0	36288.0	72576.0	0.0	0.0	36288.0	0.0	52164.0	36288.0	224.0	1.0	0.0	0.0	280181.0	194605.0	453934.0	185.5486	37.3885	""	1163.0	535074.0	615.0	2352845.0	868.9795	593.0	"void at::native::vectorized_elementwise_kernel<4, at::native::AddFunctor<float>, at::detail::Array<char*, 3> >(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>)"
"_ZN2at6native67_GLOBAL__N__43_tmpxft_000126db_00000000_7_Indexing_cpp1_ii_0918133421indexSelectLargeIndexIfjLi2ELi2ELin2ELb1EEEvNS_4cuda6detail10TensorInfoIT_T0_EES8_NS5_IlS7_EEiiS7_S7_l--1"	23463666.0	26.0	10462.0	5741.0	6108.0	36288.0	36288.0	45360.0	29376.0	0.0	36288.0	9876.0	858832.0	97.0	0.0	1.0	1650.0	0.0	714061.0	65548.0	189817.0	2242.7515	46.2809	""	1163.0	646140.0	551.0	2626134.0	1172.1499	529.0	"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEEEEviT0_T1_--1"	1524096.0	16.0	8056.0	72576.0	72576.0	0.0	36288.0	72576.0	0.0	0.0	36288.0	0.0	52164.0	0.0	1442.0	1.0	0.0	0.0	279906.0	236277.0	366621.0	189.1877	36.7782	""	1236.0	559727.0	543.0	2664825.0	1029.3746	599.0	"void at::native::vectorized_elementwise_kernel<4, at::native::AddFunctor<float>, at::detail::Array<char*, 3> >(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>)"
"_ZN2at6native66_GLOBAL__N__42_tmpxft_0001261b_00000000_7_Dropout_cpp1_ii_6a946dbb24fused_dropout_kernel_vecIffjLi1ELi4EEEvNS_4cuda6detail10TensorInfoIT_T1_EES8_NS5_IhS7_EES7_T0_St4pairImmE--0"	22851072.0	27.0	10898.0	36288.0	36288.0	36288.0	45360.0	36288.0	0.0	0.0	45360.0	0.0	730556.0	0.0	564.0	1.0	0.0	0.0	627785.0	205524.0	195035.0	2096.8135	68.0238	""	1236.0	619715.0	514.0	2815175.0	1204.6726	585.0	"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<unsigned char, unsigned int>, unsigned int, float, std::pair<unsigned long, unsigned long>)"
"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_7MeanOpsIffEEjfLi4EEEEEvT1_--0"	2381700.0	9.0	8506.0	36288.0	36288.0	330.0	378.0	36288.0	0.0	330.0	378.0	0.0	83814.0	0.0	12.0	1.0	0.0	0.0	39071.0	26676.0	178821.0	280.0023	24.8257	""	1236.0	596557.0	542.0	2669741.0	1099.6165	561.0	"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)"
"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_10WelfordOpsIffifN6thrust4pairIffEEEEjfLi2EEEEEvT1_--0"	13964904.0	24.0	17317.0	36288.0	36288.0	330.0	378.0	36288.0	0.0	330.0	378.0	0.0	541719.0	1536.0	288.0	1.0	0.0	0.0	162083.0	32372.0	466582.0	806.4274	24.7498	""	1236.0	594382.0	569.0	2543057.0	1044.5402	529.0	"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::WelfordOps<float, float, int, float, thrust::pair<float, float> >, unsigned int, float, 2> >(at::native::ReduceOp<float, at::native::WelfordOps<float, float, int, float, thrust::pair<float, float> >, unsigned int, float, 2>)"
